name,count,gender,area,age
Ingrid,2815,female,wallonia,18-64
Fleur,2815,female,flanders,0-17
Christel,2814,female,wallonia,18-64
Delphine,2811,female,flanders,18-64
Louisa,2797,female,flanders,65-inf
Elise,2796,female,flanders,18-64
Helena,2793,female,flanders,65-inf
Noël,2791,male,flanders,65-inf
Jeanine,2789,female,flanders,65-inf
Mathéo,2785,male,wallonia,0-17
Mireille,2783,female,flanders,18-64
Lutgarde,2779,female,flanders,65-inf
Bianca,2773,female,flanders,18-64
Lucas,2770,male,wallonia,18-64
Etienne,2768,male,wallonia,18-64
Lionel,2766,male,wallonia,18-64
Maxim,2766,male,flanders,18-64
Myriam,2764,female,flanders,65-inf
Jules,2763,male,wallonia,0-17
Gaëtan,2763,male,wallonia,18-64
Claudine,2755,female,wallonia,18-64
Frieda,2750,female,flanders,65-inf
Daniël,2748,male,flanders,65-inf
Stef,2744,male,flanders,18-64
Josée,2743,female,flanders,65-inf
Claudia,2734,female,flanders,18-64
Liesbet,2731,female,flanders,18-64
Sara,2728,female,flanders,0-17
Nora,2726,female,flanders,0-17
Juliette,2723,female,wallonia,0-17
